,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
121,South Sudan,2450,0,47,0,1175,0,1228,0,219,4,12044,1075,11206572,4574,238438,930,Africa
122,Slovenia,2233,10,125,0,1927,18,181,4,1074,60,136455,65636,2078968,931,16632,15,Europe
123,Lithuania,2194,23,81,0,1658,2,455,6,807,30,545362,200639,2718121,1239,33557,5,Europe
124,Estonia,2133,9,63,0,1956,2,114,0,1608,47,123839,93349,1326627,622,21058,11,Europe
125,Mozambique,2120,0,15,0,795,0,1310,0,68,0,65151,2079,31333962,14780,2088931,481,Africa
126,Rwanda,2111,0,5,0,1258,0,848,0,163,0,286251,22051,12981546,6149,2596309,45,Africa
127,Suriname,2096,0,29,0,1446,0,621,9,3570,49,2927,4985,587154,280,20247,201,South America
128,Guinea-Bissau,2032,0,27,0,944,0,1061,5,1030,14,1500,761,1972277,971,73047,1315,Africa
129,Iceland,1952,22,10,0,1833,8,109,0,5717,29,152694,447173,341465,175,34147,2,Europe
130,Benin,1936,0,38,0,1600,0,298,1,159,3,93677,7709,12151976,6277,319789,130,Africa
131,Sierra Leone,1877,0,67,0,1427,0,383,0,235,8,0,0,7992169,4258,119286,0,Africa
132,Yemen,1768,0,508,0,898,0,362,0,59,17,120,4,29886896,16904,58832,249057,Asia
133,Tunisia,1642,0,51,0,1241,0,350,9,139,4,100298,8478,11830801,7205,231976,118,Africa
134,New Zealand,1569,0,22,0,1524,0,23,0,314,4,486943,97348,5002100,3188,227368,10,Australia/Oceania
135,Angola,1483,0,64,0,520,0,899,20,45,2,64747,1965,32956300,22223,514942,509,Africa
136,Uruguay,1318,0,37,0,1079,0,202,2,379,11,126956,36535,3474956,2637,93918,27,South America
137,Latvia,1281,6,32,0,1070,0,179,0,680,17,210046,111493,1883936,1471,58873,9,Europe
138,Jordan,1232,0,11,0,1171,0,50,3,121,1,628745,61562,10213138,8290,928467,16,Asia
139,Liberia,1224,0,78,0,705,0,441,0,241,15,0,0,5068618,4141,64982,0,Africa
140,Uganda,1223,0,5,0,1102,0,116,0,27,0,288367,6287,45867852,37504,9173570,159,Africa
141,Georgia,1213,7,17,0,994,7,202,0,304,4,240473,60294,3988368,3288,234610,17,Asia
142,Cyprus,1208,0,19,0,856,0,333,0,1000,16,216597,179267,1208238,1000,63591,6,Asia
143,Burkina Faso,1158,0,54,0,961,0,143,0,55,3,0,0,20954852,18096,388053,0,Africa
144,Niger,1153,0,69,0,1057,0,27,0,47,3,9052,373,24281432,21059,351905,2682,Africa
145,Togo,1012,0,22,0,697,0,293,2,122,3,45767,5516,8296582,8198,377117,181,Africa
146,Syria,999,0,48,0,311,0,640,0,57,3,0,0,17539600,17557,365408,0,Asia
147,Malta,995,49,9,0,675,5,311,0,2253,20,138430,313429,441663,444,49074,3,Europe
148,Jamaica,958,30,12,0,745,0,201,0,323,4,41840,14123,2962478,3092,246873,71,North America
149,Andorra,944,0,52,0,828,0,64,1,12216,673,3750,48526,77278,82,1486,21,Europe
150,Chad,942,0,76,0,838,0,28,0,57,5,0,0,16467965,17482,216684,0,Africa
151,Gambia,935,0,16,0,136,0,783,0,386,7,5183,2139,2422754,2591,151422,467,Africa
152,Sao Tome and Principe,878,0,15,0,797,0,66,0,3999,68,3079,14025,219544,250,14636,71,Africa
153,Botswana,804,0,2,0,63,0,739,1,341,0,68423,29041,2356075,2930,1178038,34,Africa
154,Vietnam,784,37,10,0,395,3,379,0,8,0,482456,4952,97425472,124267,9742547,202,Asia
155,Bahamas,761,0,14,0,91,0,656,1,1933,36,4814,12230,393616,517,28115,82,North America
156,Lesotho,742,0,23,0,175,0,544,0,346,11,8771,4091,2143943,2889,93215,244,Africa
157,Diamond Princess,712,0,13,0,651,0,48,4,0,0,0,0,0,0,0,0,
158,San Marino,699,0,42,0,657,0,0,0,20596,1238,6068,178797,33938,49,808,6,Europe
159,Réunion,671,0,5,0,592,0,74,3,749,6,35419,39532,895952,1335,179190,25,Africa
160,Channel Islands,597,0,47,0,533,0,17,0,3431,270,52055,299129,174022,291,3703,3,Europe
161,Guyana,538,0,22,0,189,0,327,2,684,28,5165,6563,786936,1463,35770,152,South America
162,Tanzania,509,0,21,0,183,0,305,7,8,0,0,0,59886384,117655,2851733,0,Africa
163,Taiwan,477,0,7,0,443,0,27,0,20,0,82737,3473,23821200,49940,3403028,288,Asia
164,Burundi,400,0,1,0,304,0,95,0,34,0,15614,1310,11922216,29806,11922216,764,Africa
165,Comoros,396,0,7,0,340,0,49,0,454,8,0,0,871326,2200,124475,0,Africa
166,Myanmar,359,2,6,0,308,0,45,0,7,0,122290,2246,54446388,151661,9074398,445,Asia
167,Mauritius,344,0,10,0,334,0,0,0,270,8,205285,161389,1271985,3698,127199,6,Africa
168,Isle of Man,336,0,24,0,312,0,0,0,3949,282,8627,101401,85078,253,3545,10,Europe
169,Mongolia,293,0,0,0,260,0,33,1,89,0,38595,11755,3283344,11206,0,85,Asia
170,Eritrea,282,0,0,0,225,0,57,0,79,0,0,0,3551175,12593,0,0,Africa
171,Guadeloupe,279,0,14,0,179,0,86,0,697,35,18476,46175,400131,1434,28581,22,North America
172,Martinique,276,0,15,0,98,0,163,1,736,40,12227,32585,375235,1360,25016,31,North America
173,Faeroe Islands,266,0,0,0,192,0,74,1,5442,0,43045,880590,48882,184,0,1,Europe
174,Aruba,263,0,3,0,114,0,146,0,2462,28,14047,131511,106812,406,35604,8,North America
175,Cambodia,243,0,0,0,214,4,29,1,15,0,69645,4160,16741375,68895,0,240,Asia
176,Trinidad and Tobago,210,0,8,0,135,0,67,0,150,6,9559,6828,1399950,6666,174994,146,North America
177,Cayman Islands,203,0,1,0,202,0,0,0,3085,15,31108,472780,65798,324,65798,2,North America
178,Gibraltar,190,0,0,0,184,0,6,0,5640,0,23063,684565,33690,177,0,1,Europe
179,Sint Maarten,176,16,16,0,86,22,74,3,4100,373,1215,28306,42924,244,2683,35,North America
180,Papua New Guinea,163,0,3,0,53,0,107,0,18,0,10808,1206,8963009,54988,2987670,829,Australia/Oceania
181,Bermuda,157,0,9,0,144,0,4,0,2522,145,26352,423298,62254,397,6917,2,North America
182,Brunei,142,1,3,0,138,0,1,0,324,7,43312,98910,437893,3084,145964,10,Asia
183,Turks and Caicos,141,12,2,0,39,0,100,3,3637,52,1271,32785,38768,275,19384,31,North America
184,Barbados,133,0,7,0,100,0,26,0,463,24,12233,42563,287411,2161,41059,23,North America
185,Seychelles,126,0,0,0,124,0,2,0,1280,0,0,0,98408,781,0,0,Africa
186,Monaco,125,0,4,0,105,0,16,2,3183,102,38209,972982,39270,314,9818,1,Europe
187,Belize,114,28,2,0,32,1,80,2,286,5,3800,9540,398312,3494,199156,105,North America
188,Bhutan,108,3,0,0,96,3,12,0,140,0,55128,71368,772443,7152,0,14,Asia
189,Antigua and Barbuda,92,0,3,0,76,0,13,1,939,31,1500,15305,98010,1065,32670,65,North America
190,Liechtenstein,89,0,1,0,85,0,3,0,2334,26,900,23598,38139,429,38139,42,Europe
191,French Polynesia,64,0,0,0,62,0,2,0,228,0,5849,20810,281072,4392,0,48,Australia/Oceania
192,St. Vincent Grenadines,56,0,0,0,46,0,10,0,505,0,2447,22050,110976,1982,0,45,North America
193,Saint Martin,53,0,3,0,41,0,9,1,1368,77,1183,30546,38729,731,12910,33,North America
194,Macao,46,0,0,0,46,0,0,0,71,0,4071,6261,650193,14135,0,160,Asia
195,Curaçao,31,0,1,0,30,2,0,0,189,6,1080,6579,164161,5296,164161,152,North America
